iter,tune_metric,tune_score,wmape_weighted,peak_std_11_12,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,n_estimators
88,wmape_only,25.7823913581887,25.7823913581887,inf,0.045914716161748345,5,3,0.8772631361899346,0.85041576280551,0.004281902001077091,0.047907696480102055,1.203519956007396,2900
8,wmape_only,25.812043602804245,25.812043602804245,inf,0.075466896860752,5,5,0.6238812349626769,0.7885539006172015,0.44820328419179045,0.01956109475878953,1.525357752764211,2900
47,wmape_only,25.819532053484885,25.819532053484885,inf,0.020137059988836827,6,6,0.7328814731497664,0.9638415537384476,0.0006267126893947772,3.3184523826362002,0.5284346995571494,2900
64,wmape_only,25.82527016522789,25.82527016522789,inf,0.013405655394605408,3,1,0.760772267856904,0.6172987848548235,0.0009642800627692732,0.05474911115473675,0.8480418291350372,2900
147,wmape_only,25.82986759087602,25.82986759087602,inf,0.0607644186387007,7,6,0.6308464958607841,0.6551772787786214,0.04745275866102306,1.117097432416803,2.055357746517221,2900
124,wmape_only,25.888388490648083,25.888388490648083,inf,0.10498595023854575,4,15,0.6364566128153347,0.6171036150421424,0.12386680771815854,0.515296824023479,0.8959890953444773,2900
137,wmape_only,25.919346823435,25.919346823435,inf,0.11005392008811031,5,15,0.8239896325547724,0.7581297944536182,0.022237993077160248,0.2852502200395241,0.7031097479960968,2900
112,wmape_only,26.023860497324048,26.023860497324048,inf,0.11778270293326648,6,10,0.6604531873040654,0.8694700342331378,0.001928974385886301,0.38659200531391674,0.2980284090196169,2900
104,wmape_only,26.04037555499965,26.04037555499965,inf,0.01123125647397448,8,5,0.7738275722317661,0.7234093603993037,0.04331625005368943,0.1664020203125694,0.8721226666696691,2900
100,wmape_only,26.042500334970637,26.042500334970637,inf,0.10234504308651743,4,9,0.7744378960735679,0.9561387175145145,1.7101426583932526,0.03920781747425454,0.016310896010299225,2900
128,wmape_only,26.062513772986446,26.062513772986446,inf,0.027719470881755214,7,5,0.6056604949935449,0.9622935665022794,0.0010508506705075606,8.920438185898925,1.0613880273561334,2900
76,wmape_only,26.11661085552573,26.11661085552573,inf,0.08068521869810925,6,5,0.9721630287895451,0.9097624705572585,0.7218826838929906,8.955301636985103,1.3712476627022845,2900
77,wmape_only,26.134117581045622,26.134117581045622,inf,0.07134797981731027,8,2,0.6383961654435079,0.809608924858384,4.047225927931705,0.05301238499600053,2.702414263045834,2900
23,wmape_only,26.137935623337487,26.137935623337487,inf,0.07603150571343763,4,4,0.9624915884265219,0.8278565988290477,0.04517329071637354,13.953598785855261,0.36110755730869104,2900
85,wmape_only,26.180933006938865,26.180933006938865,inf,0.03678497623498628,7,2,0.80192301175743,0.8303310064127704,0.00017037286320067147,8.395400972628497,1.802420653693181,2900
90,wmape_only,26.191884051076624,26.191884051076624,inf,0.0871519959960572,4,14,0.6559888739915644,0.6235618051185652,0.00045774773560627435,0.028538328742626448,0.4358517195444461,2900
2,wmape_only,26.192788834925324,26.192788834925324,inf,0.08813120991239148,3,2,0.6972528493983337,0.6439246191834067,0.004245273083807964,0.14378641766715392,0.5732509394820546,2900
92,wmape_only,26.203260534045512,26.203260534045512,inf,0.09008487591000502,7,6,0.6134269663531581,0.9600147357548872,0.129637059269157,0.011926837780005434,1.3361656649881732,2900
16,wmape_only,26.225994234465013,26.225994234465013,inf,0.07449966263074331,7,7,0.6748525308080242,0.8554914713073702,0.00016666421552325768,0.31346005011071754,1.499043638194836,2900
129,wmape_only,26.24810730306333,26.24810730306333,inf,0.1427928866935587,7,12,0.9459386042441189,0.9889134052672328,0.00011828437030947092,3.7814283790631626,2.7494911203728436,2900
139,wmape_only,26.262758973879794,26.262758973879794,inf,0.08128098107017581,7,7,0.9998916329667906,0.6328217222367963,2.7838538440460696,0.8015523382669898,1.5387837199979084,2900
31,wmape_only,26.318967981054474,26.318967981054474,inf,0.10415209171087161,7,5,0.6325532735290696,0.8466923623340723,0.009031557479211375,0.044562852607297844,0.5378210072225829,2900
87,wmape_only,26.34299430202972,26.34299430202972,inf,0.053601204129543834,6,3,0.8158794319063138,0.6416242164649131,0.0029577716584125576,0.03657407946899151,2.282450362684328,2900
66,wmape_only,26.37659214824529,26.37659214824529,inf,0.11363602030970837,8,7,0.6123601702749336,0.9782579284956014,0.0003083233280963671,10.728403159550314,1.283503316162638,2900
145,wmape_only,26.381754226056714,26.381754226056714,inf,0.026205898137535332,8,4,0.6372516465715982,0.961041619016427,0.109318560248671,4.08482523210809,0.5170881564366023,2900
37,wmape_only,26.39286446936818,26.39286446936818,inf,0.0146024014173433,7,3,0.7533553328626486,0.8590172504961565,0.00038489006526848857,7.853550382598049,1.3187018768555934,2900
98,wmape_only,26.427164032808985,26.427164032808985,inf,0.011981079355937826,7,4,0.7350997838140665,0.7180515323937708,1.2552157788817757,6.410854365613587,0.4137362505915336,2900
115,wmape_only,26.444001750037813,26.444001750037813,inf,0.0716684740795324,4,5,0.9098956752631078,0.8884523089829381,0.016963267438102024,1.4961252140236512,0.8917261505004621,2900
6,wmape_only,26.50264219383076,26.50264219383076,inf,0.01901159191765081,6,1,0.693547597976856,0.8481788163094311,0.2464969348463328,3.2551636055764877,1.3059139547752547,2900
53,wmape_only,26.51699054638058,26.51699054638058,inf,0.02173119292465094,7,3,0.7265937747072527,0.8800125308040847,1.6979824155056589,13.013497139840648,0.1185065632573652,2900
99,wmape_only,26.57930007463888,26.57930007463888,inf,0.03182235813498408,8,2,0.8827672567544629,0.6601855368974296,0.00016175972990368866,0.6079553145447846,2.0528930935321448,2900
20,wmape_only,26.607339749361245,26.607339749361245,inf,0.04712087810200994,5,1,0.8146121004455084,0.9986641291927814,0.041915280434209806,3.071401534299527,0.027917950032077976,2900
67,wmape_only,26.620583158829483,26.620583158829483,inf,0.050428197112004164,6,5,0.6595051699155403,0.9063810472093574,0.0064186196728269465,3.320823991423456,2.107461015324276,2900
9,wmape_only,26.6855279227045,26.6855279227045,inf,0.1294597424358852,3,3,0.6018270225829578,0.8132273669611374,0.10943349999864965,1.1595127595547594,1.2030068675603003,2900
13,wmape_only,26.73580012483072,26.73580012483072,inf,0.14594904022837327,6,7,0.7572810671387461,0.946158202654453,0.004904371110989776,0.01121773971990536,0.1932378449019403,2900
56,wmape_only,26.757228387884506,26.757228387884506,inf,0.027499458000048594,8,1,0.9789299156136924,0.9465185789664892,0.000915940171078593,0.05378575908191223,0.9056641112294448,2900
89,wmape_only,26.768610029371118,26.768610029371118,inf,0.04562514611524076,7,6,0.6248139932715836,0.7258606958512761,2.3718559137258044,0.4041272103081091,0.006681459909651966,2900
143,wmape_only,26.787357052656997,26.787357052656997,inf,0.1229467824433735,6,9,0.8686856176902351,0.7363703610144678,0.020789604454389713,1.2686793958919766,1.0533549456826479,2900
36,wmape_only,26.820588825490155,26.820588825490155,inf,0.03841719915545232,5,2,0.7819568078842076,0.7563994479274612,0.5246769246598161,0.05554663600685193,1.7851057122907226,2900
78,wmape_only,26.95801539692891,26.95801539692891,inf,0.055693588629630926,6,1,0.8473618892969133,0.6728361413762393,0.06785761525033378,0.10635661173104581,1.7284496310604036,2900
106,wmape_only,27.003909418373826,27.003909418373826,inf,0.0403700367739915,8,2,0.6620193898525841,0.9398888698957554,0.000328369983023238,3.4598230360429367,2.0794713391727537,2900
68,wmape_only,27.02678993479394,27.02678993479394,inf,0.05037343597235297,8,4,0.8766800687358827,0.7493729782503749,0.08517548935639575,0.024820416218091,0.7858169544529323,2900
27,wmape_only,27.139858401383325,27.139858401383325,inf,0.1179417096531268,4,6,0.6174363910548218,0.7274802221445147,0.0002264867437313048,1.2052872208241705,1.8427493395728403,2900
118,wmape_only,27.3335664361155,27.3335664361155,inf,0.0902792237322866,6,1,0.7460880553180356,0.9527700065969664,0.001445652800131771,0.4404517423152417,1.2864827384679678,2900
43,wmape_only,27.336125144735288,27.336125144735288,inf,0.13756137036725388,5,3,0.6003830862925816,0.8660554575731558,0.00030685722078883633,7.819700510378114,2.2649624085069453,2900
86,wmape_only,27.3588677868925,27.3588677868925,inf,0.024936610894608743,8,3,0.6676458541603275,0.7268685154600285,0.08809728057784245,1.902338191149322,2.5179565978900507,2900
114,wmape_only,27.46744393093664,27.46744393093664,inf,0.011045154866202913,8,1,0.8093552652959588,0.6097623637139423,2.0052217144256907,0.03180545781072382,0.7978352957070368,2900
50,wmape_only,27.52288303689753,27.52288303689753,inf,0.09647747669906324,6,6,0.7154569902774958,0.9380670115447663,0.0001439186870402663,0.3034417923021968,1.316148398906979,2900
44,wmape_only,27.613631884466514,27.613631884466514,inf,0.036198703141300366,7,2,0.7521310186804605,0.8335357673930816,1.828533760282172,0.049349980922578536,0.03224721648096085,2900
82,wmape_only,28.877092693439685,28.877092693439685,inf,0.1438323814342143,5,1,0.8580525716841786,0.8940925320284572,2.4933002986342476,7.393113323483426,1.025516935874735,2900
30,wmape_only,28.97565395629567,28.97565395629567,inf,0.12628070696695773,8,3,0.7858819666341408,0.7392922529547561,0.0015762169503051396,0.031039660613684076,0.5973494123955597,2900
1,wmape_only,29.955553580293486,29.955553580293486,inf,0.13929193748061774,8,2,0.9738071445218383,0.7705126353197764,0.20866047659387382,0.022966580971389775,1.518333235478877,2900
